method,alpha*:F1max,FPR,TPR,Precision,Recall,F1,TN,FP,FN,TP
marginal,0.13253012048192772,0.10990338164251194,0.8124999999999954,0.6111111111111085,0.8124999999999954,0.6975609756092626,737,91,33,143
ccv_simes,0.17700767756089375,0.10990338164251194,0.8124999999999954,0.6111111111111085,0.8124999999999954,0.6975609756092626,737,91,33,143
