method,alpha,positives,FPR,TPR,Precision,Recall,F1,AUC_ROC(neg_score),AUC_PR(neg_score)
marginal,0.01,42,0.0012077294685990322,0.23295454545454414,0.9761904761904528,0.23295454545454414,0.37614678899051107,0.94303428304787,0.7761877875290519
marginal,0.05,140,0.039855072463768064,0.607954545454542,0.7642857142857089,0.607954545454542,0.67721518987292,0.94303428304787,0.7761877875290519
marginal,0.1,177,0.07004830917874387,0.6761363636363598,0.6723163841807872,0.6761363636363598,0.6742209631723007,0.94303428304787,0.7761877875290519
ccv_simes,0.01,57,0.007246376811594194,0.2897727272727256,0.8947368421052474,0.2897727272727256,0.43776824034297424,0.9430445761967501,0.7761877875290522
ccv_simes,0.05,139,0.03864734299516903,0.607954545454542,0.7697841726618649,0.607954545454542,0.6793650793645819,0.9430445761967501,0.7761877875290522
ccv_simes,0.1,162,0.05676328502415452,0.6534090909090872,0.7098765432098721,0.6534090909090872,0.6804733727805617,0.9430445761967501,0.7761877875290522
