method,alpha,positives,FPR,TPR,Precision,Recall,F1,AUC_ROC(neg_score),AUC_PR(neg_score)
marginal,0.01,57,0.008454106280193226,0.2840909090909075,0.877192982456125,0.2840909090909075,0.4291845493558499,0.9438543039086518,0.758694483214933
marginal,0.05,143,0.03864734299516903,0.6306818181818146,0.7762237762237708,0.6306818181818146,0.6959247648897832,0.9438543039086518,0.758694483214933
marginal,0.1,208,0.09057971014492743,0.7556818181818139,0.6394230769230739,0.7556818181818139,0.6927083333328331,0.9438543039086518,0.758694483214933
ccv_simes,0.01,86,0.013285024154589356,0.4261363636363612,0.8720930232558038,0.4261363636363612,0.5725190839690203,0.9438543039086518,0.7586944832149332
ccv_simes,0.05,134,0.03260869565217387,0.607954545454542,0.7985074626865613,0.607954545454542,0.690322580644666,0.9438543039086518,0.7586944832149332
ccv_simes,0.1,162,0.05555555555555549,0.6590909090909054,0.716049382716045,0.6590909090909054,0.6863905325438755,0.9438543039086518,0.7586944832149332
