method,alpha*:F1max,FPR,TPR,Precision,Recall,F1,TN,FP,FN,TP
marginal,0.16265060240963855,0.14130434782608678,0.8977272727272676,0.5745454545454524,0.8977272727272676,0.7006651884695873,711,117,18,158
ccv_simes,0.21913402359433842,0.14130434782608678,0.8977272727272676,0.5745454545454524,0.8977272727272676,0.7006651884695873,711,117,18,158
