name,AUC_ROC,AUC_PR,thr_bestF1,pos_bestF1,FPR_bestF1,TPR_bestF1,Precision_bestF1,Recall_bestF1,F1_bestF1,split_idx
raw_score,0.942907334211682,0.7892285196509441,133.9383544921875,233,0.1086956521739129,0.8124999999999954,0.6137339055793966,0.8124999999999954,0.699266503666988,0
neg_p_marg,0.94303428304787,0.7761877875290519,-0.1385542168674698,249,0.1231884057971013,0.835227272727268,0.5903614457831302,0.835227272727268,0.6917647058818645,0
neg_p_ccv,0.94304457619675,0.7761877875290522,-0.185421908746072,249,0.1231884057971013,0.835227272727268,0.5903614457831302,0.835227272727268,0.6917647058818645,0
raw_score,0.940814393939394,0.7882535687160918,137.88018798828125,148,0.0422705314009661,0.6420454545454509,0.7635135135135084,0.6420454545454509,0.6975308641970303,1
neg_p_marg,0.938731746815986,0.7384901236558881,-0.0542168674698795,146,0.041062801932367,0.6363636363636328,0.7671232876712276,0.6363636363636328,0.6956521739125434,1
neg_p_ccv,0.9388140920070268,0.7379088801867135,-0.0680366338230239,146,0.041062801932367,0.6363636363636328,0.7671232876712276,0.6363636363636328,0.6956521739125434,1
raw_score,0.9442797540623628,0.7950871610180442,133.13316345214844,246,0.114734299516908,0.8579545454545406,0.6138211382113796,0.8579545454545406,0.7156398104260505,2
neg_p_marg,0.9424544356609572,0.746707283596177,-0.1144578313253012,258,0.1292270531400964,0.8579545454545406,0.5852713178294551,0.8579545454545406,0.6958525345617266,2
neg_p_ccv,0.9424612977602108,0.7467248342962354,-0.1517952222577094,258,0.1292270531400964,0.8579545454545406,0.5852713178294551,0.8579545454545406,0.6958525345617266,2
raw_score,0.9420152613087396,0.8084646160871417,138.5123748779297,138,0.0338164251207729,0.6249999999999964,0.7971014492753565,0.6249999999999964,0.700636942674662,3
neg_p_marg,0.9407938076416338,0.7838064585983521,-0.0602409638554216,172,0.0676328502415458,0.6590909090909054,0.6744186046511589,0.6590909090909054,0.6666666666661629,3
neg_p_ccv,0.9408075318401404,0.7838064585983521,-0.0763952068622803,172,0.0676328502415458,0.6590909090909054,0.6744186046511589,0.6590909090909054,0.6666666666661629,3
raw_score,0.9443826855511638,0.7924971566387934,131.96922302246094,274,0.1400966183574877,0.8977272727272676,0.5766423357664212,0.8977272727272676,0.7022222222217428,4
neg_p_marg,0.9438543039086518,0.758694483214933,-0.1686746987951807,287,0.152173913043478,0.914772727272722,0.5609756097560955,0.914772727272722,0.6954643628504976,4
neg_p_ccv,0.9438543039086518,0.7586944832149332,-0.2275768497964547,287,0.152173913043478,0.914772727272722,0.5609756097560955,0.914772727272722,0.6954643628504976,4
