method,alpha,positives,FPR,TPR,Precision,Recall,F1,AUC_ROC(neg_score),AUC_PR(neg_score)
marginal,0.01,49,0.0012077294685990322,0.2727272727272712,0.9795918367346739,0.2727272727272712,0.4266666666663222,0.9407938076416338,0.7838064585983521
marginal,0.05,146,0.04227053140096613,0.6306818181818146,0.7602739726027345,0.6306818181818146,0.6894409937883199,0.9407938076416338,0.7838064585983521
marginal,0.1,222,0.10386473429951679,0.7727272727272684,0.6126126126126099,0.7727272727272684,0.6834170854266389,0.9407938076416338,0.7838064585983521
ccv_simes,0.01,79,0.007246376811594194,0.4147727272727249,0.9240506329113808,0.4147727272727249,0.5725490196074109,0.9408075318401405,0.7838064585983521
ccv_simes,0.05,129,0.027777777777777745,0.6022727272727239,0.8217054263565828,0.6022727272727239,0.6950819672126222,0.9408075318401405,0.7838064585983521
ccv_simes,0.1,194,0.0857487922705313,0.6988636363636325,0.6340206185566978,0.6988636363636325,0.6648648648643625,0.9408075318401405,0.7838064585983521
