method,alpha*:F1max,FPR,TPR,Precision,Recall,F1,TN,FP,FN,TP
marginal,0.05421686746987952,0.04710144927536226,0.6534090909090872,0.746753246753242,0.6534090909090872,0.6969696969691949,789,39,61,115
ccv_simes,0.06803663382302394,0.04710144927536226,0.6534090909090872,0.746753246753242,0.6534090909090872,0.6969696969691949,789,39,61,115
