method,alpha,positives,FPR,TPR,Precision,Recall,F1,AUC_ROC(neg_score),AUC_PR(neg_score)
marginal,0.01,91,0.01690821256038645,0.4374999999999975,0.8461538461538369,0.4374999999999975,0.5767790262167748,0.938731746815986,0.7384901236558881
marginal,0.05,145,0.039855072463768064,0.6363636363636328,0.7724137931034429,0.6363636363636328,0.6978193146412448,0.938731746815986,0.7384901236558881
marginal,0.1,187,0.07608695652173904,0.7045454545454506,0.6631016042780713,0.7045454545454506,0.683195592285998,0.938731746815986,0.7384901236558881
ccv_simes,0.01,111,0.02173913043478258,0.5284090909090879,0.8378378378378303,0.5284090909090879,0.6480836236929008,0.9388140920070267,0.7379088801867135
ccv_simes,0.05,136,0.03623188405797097,0.6022727272727239,0.7794117647058767,0.6022727272727239,0.6794871794866835,0.9388140920070267,0.7379088801867135
ccv_simes,0.1,156,0.04951690821256032,0.6534090909090872,0.7371794871794825,0.6534090909090872,0.692771084336847,0.9388140920070267,0.7379088801867135
