method,alpha,positives,FPR,TPR,Precision,Recall,F1,AUC_ROC(neg_score),AUC_PR(neg_score)
marginal,0.01,84,0.013285024154589356,0.4147727272727249,0.8690476190476087,0.4147727272727249,0.5615384615380198,0.9424544356609573,0.746707283596177
marginal,0.05,162,0.05676328502415452,0.6534090909090872,0.7098765432098721,0.6534090909090872,0.6804733727805617,0.9424544356609573,0.746707283596177
marginal,0.1,195,0.0785024154589371,0.7386363636363594,0.6666666666666633,0.7386363636363594,0.7008086253364247,0.9424544356609573,0.746707283596177
ccv_simes,0.01,94,0.01570048309178742,0.46022727272727015,0.8617021276595653,0.46022727272727015,0.5999999999995416,0.9424612977602108,0.7467248342962354
ccv_simes,0.05,157,0.05193236714975839,0.647727272727269,0.7261146496815241,0.647727272727269,0.6846846846841822,0.9424612977602108,0.7467248342962354
ccv_simes,0.1,169,0.06280193236714968,0.6647727272727235,0.6923076923076882,0.6647727272727235,0.6782608695647137,0.9424612977602108,0.7467248342962354
